m,TagName,
1/1/16,java,16691
1/1/16,c#,12408
1/1/16,c,3056
1/1/16,go,496
1/1/16,c++,6118
1/1/16,php,14684
1/1/16,perl,464
1/1/16,ruby,2150
1/1/16,javascript,22578
1/1/16,python,12385
1/1/16,swift,4805
1/1/16,r,3542
2/1/16,c#,12788
2/1/16,assembly,349
2/1/16,python,13292
2/1/16,c++,6577
2/1/16,java,17900
2/1/16,go,542
2/1/16,c,3288
2/1/16,delphi,358
2/1/16,javascript,22539
2/1/16,perl,516
2/1/16,ruby,2250
2/1/16,php,15030
2/1/16,swift,4763
2/1/16,r,3607
3/1/16,delphi,340
3/1/16,java,19972
3/1/16,go,595
3/1/16,c#,13673
3/1/16,assembly,437
3/1/16,c,3464
3/1/16,r,4053
3/1/16,python,14118
3/1/16,perl,483
3/1/16,javascript,24158
3/1/16,php,15251
3/1/16,c++,7054
3/1/16,ruby,2266
3/1/16,swift,5091
4/1/16,assembly,412
4/1/16,c#,13771
4/1/16,python,13706
4/1/16,c,3365
4/1/16,java,19551
4/1/16,delphi,323
4/1/16,c++,6917
4/1/16,go,603
4/1/16,perl,507
4/1/16,javascript,23509
4/1/16,ruby,2215
4/1/16,php,14571
4/1/16,r,4136
4/1/16,swift,4770
5/1/16,javascript,23068
5/1/16,c#,13553
5/1/16,c,2730
5/1/16,python,13162
5/1/16,assembly,323
5/1/16,delphi,338
5/1/16,java,17104
5/1/16,ruby,2132
5/1/16,c++,6156
5/1/16,php,14551
5/1/16,r,3804
5/1/16,go,581
5/1/16,perl,501
5/1/16,swift,4442
6/1/16,java,15962
6/1/16,delphi,281
6/1/16,r,3869
6/1/16,php,13748
6/1/16,c,2312
6/1/16,c#,13122
6/1/16,assembly,288
6/1/16,c++,5737
6/1/16,javascript,22209
6/1/16,go,550
6/1/16,perl,453
6/1/16,ruby,2113
6/1/16,python,12953
6/1/16,swift,4817
7/1/16,c++,5490
7/1/16,assembly,200
7/1/16,c#,12061
7/1/16,java,14991
7/1/16,javascript,22245
7/1/16,delphi,243
7/1/16,go,538
7/1/16,c,2355
7/1/16,ruby,1906
7/1/16,php,13005
7/1/16,swift,4954
7/1/16,perl,440
7/1/16,python,12863
7/1/16,r,3754
8/1/16,python,12944
8/1/16,java,15226
8/1/16,assembly,257
8/1/16,javascript,22724
8/1/16,c,2222
8/1/16,c#,12772
8/1/16,perl,475
8/1/16,ruby,1884
8/1/16,delphi,338
8/1/16,c++,5027
8/1/16,php,12955
8/1/16,swift,4923
8/1/16,go,576
8/1/16,r,3791
9/1/16,delphi,288
9/1/16,java,14726
9/1/16,assembly,335
9/1/16,c#,11160
9/1/16,go,514
9/1/16,c,2519
9/1/16,php,12220
9/1/16,python,12380
9/1/16,perl,475
9/1/16,javascript,20490
9/1/16,r,3303
9/1/16,c++,5160
9/1/16,ruby,1929
9/1/16,swift,4883
10/1/16,php,12352
10/1/16,assembly,397
10/1/16,go,533
10/1/16,c#,11497
10/1/16,c++,5995
10/1/16,delphi,268
10/1/16,c,3222
10/1/16,python,13543
10/1/16,javascript,20491
10/1/16,java,15388
10/1/16,ruby,1823
10/1/16,perl,419
10/1/16,swift,4738
10/1/16,r,3791
11/1/16,c,3276
11/1/16,c#,11697
11/1/16,javascript,20563
11/1/16,python,14228
11/1/16,assembly,414
11/1/16,delphi,273
11/1/16,java,15695
11/1/16,ruby,1763
11/1/16,c++,6109
11/1/16,php,12028
11/1/16,r,3566
11/1/16,go,478
11/1/16,perl,387
11/1/16,swift,4372
12/1/16,assembly,314
12/1/16,java,13887
12/1/16,r,3153
12/1/16,delphi,253
12/1/16,perl,352
12/1/16,javascript,19848
12/1/16,c,2803
12/1/16,c#,10739
12/1/16,php,11532
12/1/16,go,498
12/1/16,ruby,1629
12/1/16,python,13082
12/1/16,c++,5254
12/1/16,swift,3946
1/1/17,assembly,307
1/1/17,c++,5670
1/1/17,java,14621
1/1/17,c#,11753
1/1/17,delphi,285
1/1/17,javascript,21457
1/1/17,c,2767
1/1/17,go,562
1/1/17,php,12688
1/1/17,ruby,1825
1/1/17,perl,346
1/1/17,swift,4350
1/1/17,python,14316
1/1/17,r,3500
2/1/17,python,14813
2/1/17,java,14613
2/1/17,assembly,302
2/1/17,javascript,21228
2/1/17,c,2734
2/1/17,c#,11549
2/1/17,perl,419
2/1/17,ruby,1633
2/1/17,delphi,304
2/1/17,c++,5197
2/1/17,php,12593
2/1/17,swift,4075
2/1/17,go,556
2/1/17,r,3685
3/1/17,delphi,305
3/1/17,assembly,373
3/1/17,c++,6244
3/1/17,c,2980
3/1/17,c#,13047
3/1/17,java,17366
3/1/17,python,17167
3/1/17,perl,428
3/1/17,javascript,23758
3/1/17,r,4608
3/1/17,ruby,1791
3/1/17,go,657
3/1/17,swift,4629
3/1/17,php,14159
4/1/17,c#,11138
4/1/17,c,2866
4/1/17,c++,5899
4/1/17,python,15686
4/1/17,javascript,21289
4/1/17,go,510
4/1/17,php,12502
4/1/17,assembly,320
4/1/17,ruby,1491
4/1/17,java,15987
4/1/17,swift,3931
4/1/17,delphi,263
4/1/17,r,4267
4/1/17,perl,376
5/1/17,delphi,319
5/1/17,java,16395
5/1/17,r,4331
5/1/17,php,13115
5/1/17,assembly,349
5/1/17,c,2749
5/1/17,perl,363
5/1/17,c#,12046
5/1/17,python,16214
5/1/17,javascript,22435
5/1/17,c++,5316
5/1/17,go,590
5/1/17,ruby,1521
5/1/17,swift,4113
6/1/17,javascript,21635
6/1/17,perl,332
6/1/17,c,2367
6/1/17,go,576
6/1/17,c#,11350
6/1/17,assembly,242
6/1/17,c++,4702
6/1/17,python,16074
6/1/17,java,14658
6/1/17,r,4460
6/1/17,ruby,1419
6/1/17,delphi,246
6/1/17,swift,4205
6/1/17,php,11845
7/1/17,c#,11254
7/1/17,javascript,21664
7/1/17,python,16961
7/1/17,c,2058
7/1/17,java,14191
7/1/17,php,11859
7/1/17,c++,5041
7/1/17,assembly,222
7/1/17,swift,4357
7/1/17,ruby,1524
7/1/17,delphi,207
7/1/17,perl,341
7/1/17,go,658
7/1/17,r,4591
8/1/17,java,13784
8/1/17,delphi,288
8/1/17,assembly,217
8/1/17,c#,11014
8/1/17,c,2055
8/1/17,python,16512
8/1/17,go,615
8/1/17,c++,4809
8/1/17,javascript,21409
8/1/17,ruby,1395
8/1/17,perl,368
8/1/17,swift,4199
8/1/17,r,4582
8/1/17,php,11727
9/1/17,assembly,228
9/1/17,c#,9933
9/1/17,c,2108
9/1/17,python,15485
9/1/17,java,12800
9/1/17,delphi,263
9/1/17,go,544
9/1/17,c++,4487
9/1/17,perl,318
9/1/17,javascript,19041
9/1/17,r,4235
9/1/17,ruby,1224
9/1/17,php,10761
9/1/17,swift,3789
10/1/17,javascript,19923
10/1/17,c,2797
10/1/17,c#,10280
10/1/17,php,10895
10/1/17,delphi,222
10/1/17,assembly,334
10/1/17,go,619
10/1/17,python,17002
10/1/17,java,14051
10/1/17,ruby,1299
10/1/17,c++,5238
10/1/17,r,4552
10/1/17,perl,343
10/1/17,swift,3913
11/1/17,delphi,199
11/1/17,java,14242
11/1/17,r,4531
11/1/17,php,10668
11/1/17,assembly,387
11/1/17,c,2965
11/1/17,perl,280
11/1/17,c#,9855
11/1/17,python,17038
11/1/17,javascript,19457
11/1/17,c++,5053
11/1/17,go,655
11/1/17,ruby,1178
11/1/17,swift,3681
12/1/17,assembly,248
12/1/17,c++,4472
12/1/17,c#,8658
12/1/17,java,12023
12/1/17,delphi,188
12/1/17,javascript,17022
12/1/17,go,530
12/1/17,c,2203
12/1/17,php,9215
12/1/17,ruby,1023
12/1/17,perl,248
12/1/17,swift,3218
12/1/17,python,15004
12/1/17,r,3723
1/1/18,python,16302
1/1/18,assembly,255
1/1/18,java,12391
1/1/18,javascript,18986
1/1/18,c#,9455
1/1/18,c,2231
1/1/18,c++,4776
1/1/18,ruby,1165
1/1/18,swift,3763
1/1/18,perl,253
1/1/18,delphi,194
1/1/18,php,10209
1/1/18,go,545
1/1/18,r,4209
2/1/18,java,12084
2/1/18,delphi,212
2/1/18,assembly,282
2/1/18,c#,8633
2/1/18,c,2154
2/1/18,python,16389
2/1/18,go,584
2/1/18,c++,4591
2/1/18,javascript,17271
2/1/18,ruby,1032
2/1/18,perl,244
2/1/18,swift,3420
2/1/18,r,4517
2/1/18,php,9217
3/1/18,assembly,318
3/1/18,javascript,19204
3/1/18,c#,9855
3/1/18,c,2483
3/1/18,python,17965
3/1/18,c++,5213
3/1/18,delphi,216
3/1/18,go,613
3/1/18,perl,302
3/1/18,ruby,1064
3/1/18,java,13617
3/1/18,php,9930
3/1/18,r,5110
3/1/18,swift,4077
4/1/18,java,13549
4/1/18,assembly,321
4/1/18,c,2206
4/1/18,c#,9293
4/1/18,javascript,18002
4/1/18,php,9011
4/1/18,c++,4686
4/1/18,delphi,204
4/1/18,perl,267
4/1/18,python,17028
4/1/18,r,4746
4/1/18,go,625
4/1/18,ruby,989
4/1/18,swift,3588
5/1/18,assembly,298
5/1/18,c#,9997
5/1/18,c++,4706
5/1/18,python,17628
5/1/18,go,635
5/1/18,javascript,18117
5/1/18,c,2381
5/1/18,java,13518
5/1/18,delphi,193
5/1/18,ruby,1036
5/1/18,perl,257
5/1/18,swift,3633
5/1/18,php,9547
5/1/18,r,4734
6/1/18,c,1849
6/1/18,c#,8840
6/1/18,assembly,208
6/1/18,c++,4122
6/1/18,java,11846
6/1/18,delphi,187
6/1/18,perl,254
6/1/18,javascript,17232
6/1/18,r,4506
6/1/18,go,678
6/1/18,php,8512
6/1/18,python,16857
6/1/18,ruby,999
6/1/18,swift,3161
7/1/18,delphi,206
7/1/18,java,11823
7/1/18,assembly,182
7/1/18,c#,9459
7/1/18,go,696
7/1/18,c,1612
7/1/18,perl,262
7/1/18,python,17981
7/1/18,r,4416
7/1/18,javascript,17862
7/1/18,php,8637
7/1/18,c++,3931
7/1/18,ruby,943
7/1/18,swift,3684
8/1/18,assembly,182
8/1/18,c#,9577
8/1/18,python,17870
8/1/18,c,1702
8/1/18,java,11420
8/1/18,delphi,206
8/1/18,c++,3946
8/1/18,go,711
8/1/18,perl,239
8/1/18,javascript,17975
8/1/18,ruby,883
8/1/18,php,8600
8/1/18,r,4139
8/1/18,swift,3598
9/1/18,c#,8437
9/1/18,c++,3785
9/1/18,python,16154
9/1/18,c,1867
9/1/18,assembly,262
9/1/18,javascript,16096
9/1/18,delphi,185
9/1/18,go,679
9/1/18,perl,218
9/1/18,php,7786
9/1/18,java,10884
9/1/18,ruby,783
9/1/18,r,3809
9/1/18,swift,3158
10/1/18,delphi,226
10/1/18,java,12668
10/1/18,php,8335
10/1/18,r,4392
10/1/18,c#,9423
10/1/18,c,2492
10/1/18,c++,4365
10/1/18,assembly,330
10/1/18,go,798
10/1/18,javascript,17554
10/1/18,ruby,905
10/1/18,perl,299
10/1/18,swift,3301
10/1/18,python,18328
11/1/18,javascript,16329
11/1/18,go,721
11/1/18,python,18209
11/1/18,c,2571
11/1/18,c#,8577
11/1/18,assembly,312
11/1/18,java,11886
11/1/18,c++,4420
11/1/18,perl,245
11/1/18,ruby,835
11/1/18,delphi,181
11/1/18,swift,3002
11/1/18,r,4276
11/1/18,php,7256
12/1/18,javascript,14425
12/1/18,java,10614
12/1/18,c#,7650
12/1/18,c,2246
12/1/18,php,6364
12/1/18,python,15918
12/1/18,c++,3620
12/1/18,assembly,236
12/1/18,ruby,811
12/1/18,delphi,176
12/1/18,swift,2802
12/1/18,perl,232
12/1/18,go,661
12/1/18,r,3443
1/1/19,delphi,220
1/1/19,java,11196
1/1/19,assembly,229
1/1/19,c#,8887
1/1/19,go,666
1/1/19,c,2330
1/1/19,perl,274
1/1/19,python,17163
1/1/19,r,3994
1/1/19,javascript,16170
1/1/19,php,7328
1/1/19,c++,3955
1/1/19,ruby,920
1/1/19,swift,2937
2/1/19,assembly,232
2/1/19,c#,8468
2/1/19,python,17746
2/1/19,c,2092
2/1/19,java,11164
2/1/19,delphi,190
2/1/19,c++,3799
2/1/19,go,636
2/1/19,perl,263
2/1/19,javascript,15862
2/1/19,ruby,787
2/1/19,php,7469
2/1/19,r,4300
2/1/19,swift,2708
3/1/19,java,12254
3/1/19,c++,4507
3/1/19,delphi,189
3/1/19,assembly,284
3/1/19,javascript,17514
3/1/19,c,2425
3/1/19,c#,9082
3/1/19,php,7964
3/1/19,go,729
3/1/19,perl,243
3/1/19,python,20136
3/1/19,r,4550
3/1/19,ruby,851
3/1/19,swift,2979
4/1/19,delphi,206
4/1/19,javascript,16348
4/1/19,assembly,318
4/1/19,c#,9251
4/1/19,php,7393
4/1/19,c++,4470
4/1/19,c,2478
4/1/19,go,655
4/1/19,java,11352
4/1/19,swift,3122
4/1/19,python,20045
4/1/19,ruby,767
4/1/19,perl,219
4/1/19,r,4659
5/1/19,c#,9161
5/1/19,assembly,253
5/1/19,c,2156
5/1/19,delphi,170
5/1/19,javascript,16310
5/1/19,perl,238
5/1/19,java,11297
5/1/19,go,684
5/1/19,c++,4196
5/1/19,php,7169
5/1/19,r,4357
5/1/19,python,19122
5/1/19,swift,3142
5/1/19,ruby,759
6/1/19,java,9787
6/1/19,javascript,15016
6/1/19,c#,7740
6/1/19,go,536
6/1/19,assembly,205
6/1/19,php,6175
6/1/19,c++,3721
6/1/19,c,1780
6/1/19,python,17507
6/1/19,perl,251
6/1/19,ruby,707
6/1/19,delphi,131
6/1/19,swift,3122
6/1/19,r,4004
7/1/19,delphi,164
7/1/19,assembly,195
7/1/19,c++,4331
7/1/19,c,1792
7/1/19,c#,8588
7/1/19,java,11024
7/1/19,python,20030
7/1/19,perl,249
7/1/19,javascript,16403
7/1/19,r,4265
7/1/19,ruby,763
7/1/19,go,641
7/1/19,swift,3086
7/1/19,php,6853
8/1/19,c#,8027
8/1/19,c,1602
8/1/19,c++,3401
8/1/19,python,18805
8/1/19,delphi,172
8/1/19,go,649
8/1/19,javascript,15945
8/1/19,assembly,177
8/1/19,php,6147
8/1/19,java,9646
8/1/19,ruby,792
8/1/19,perl,205
8/1/19,swift,2656
8/1/19,r,4115
9/1/19,java,11332
9/1/19,c,2141
9/1/19,c#,8799
9/1/19,assembly,241
9/1/19,javascript,16846
9/1/19,c++,4129
9/1/19,delphi,164
9/1/19,php,6454
9/1/19,go,671
9/1/19,perl,213
9/1/19,python,19201
9/1/19,r,4471
9/1/19,ruby,791
9/1/19,swift,2880
10/1/19,c#,9463
10/1/19,assembly,349
10/1/19,c++,5295
10/1/19,python,23398
10/1/19,javascript,18386
10/1/19,go,679
10/1/19,c,2656
10/1/19,delphi,162
10/1/19,java,13156
10/1/19,perl,216
10/1/19,ruby,913
10/1/19,php,7057
10/1/19,swift,3450
10/1/19,r,5135
11/1/19,assembly,323
11/1/19,c,2703
11/1/19,c#,9103
11/1/19,c++,5166
11/1/19,perl,235
11/1/19,java,12165
11/1/19,delphi,180
11/1/19,javascript,18187
11/1/19,php,7047
11/1/19,r,4876
11/1/19,go,659
11/1/19,python,23590
11/1/19,ruby,726
11/1/19,swift,3265
12/1/19,assembly,267
12/1/19,delphi,143
12/1/19,java,10602
12/1/19,c#,7978
12/1/19,go,663
12/1/19,python,20526
12/1/19,c,2290
12/1/19,c++,4595
12/1/19,perl,168
12/1/19,ruby,738
12/1/19,javascript,16433
12/1/19,swift,3010
12/1/19,r,4238
12/1/19,php,6069
1/1/20,assembly,239
1/1/20,c#,8665
1/1/20,c,2177
1/1/20,python,22699
1/1/20,java,11522
1/1/20,delphi,178
1/1/20,perl,174
1/1/20,c++,4521
1/1/20,r,4614
1/1/20,go,686
1/1/20,ruby,817
1/1/20,javascript,18076
1/1/20,swift,3166
1/1/20,php,6699
2/1/20,c#,8679
2/1/20,c,2090
2/1/20,c++,4423
2/1/20,python,22938
2/1/20,delphi,168
2/1/20,go,716
2/1/20,javascript,17947
2/1/20,assembly,281
2/1/20,php,6543
2/1/20,java,11602
2/1/20,ruby,706
2/1/20,perl,197
2/1/20,swift,3103
2/1/20,r,5192
3/1/20,java,13253
3/1/20,go,719
3/1/20,c,2670
3/1/20,delphi,181
3/1/20,c#,8954
3/1/20,python,26673
3/1/20,c++,5107
3/1/20,assembly,317
3/1/20,javascript,20483
3/1/20,perl,215
3/1/20,r,5761
3/1/20,php,6672
3/1/20,swift,3434
3/1/20,ruby,780
4/1/20,java,15377
4/1/20,assembly,406
4/1/20,c++,6820
4/1/20,c#,10042
4/1/20,c,3472
4/1/20,delphi,250
4/1/20,javascript,24634
4/1/20,go,887
4/1/20,perl,240
4/1/20,php,8060
4/1/20,ruby,860
4/1/20,python,32605
4/1/20,swift,4015
4/1/20,r,7047
5/1/20,java,14711
5/1/20,c#,9923
5/1/20,assembly,386
5/1/20,delphi,221
5/1/20,c,3602
5/1/20,javascript,25196
5/1/20,go,826
5/1/20,c++,7063
5/1/20,php,7917
5/1/20,python,34478
5/1/20,perl,228
5/1/20,ruby,774
5/1/20,r,6833
5/1/20,swift,4066
6/1/20,delphi,214
6/1/20,java,13015
6/1/20,c++,6161
6/1/20,c,2757
6/1/20,php,7188
6/1/20,assembly,363
6/1/20,c#,9064
6/1/20,go,765
6/1/20,javascript,23360
6/1/20,perl,203
6/1/20,python,31817
6/1/20,r,6249
6/1/20,ruby,670
6/1/20,swift,3733
7/1/20,delphi,212
7/1/20,java,12723
7/1/20,javascript,23802
7/1/20,c++,5756
7/1/20,c#,9145
7/1/20,assembly,298
7/1/20,c,2294
7/1/20,python,31261
7/1/20,php,7334
7/1/20,r,5694
7/1/20,go,743
7/1/20,ruby,775
7/1/20,perl,182
7/1/20,swift,3607
